BACKLINK OUTREACH DASHBOARD,,,,,
Last Updated:,December 17 2024,,,,
Review Date:,January 13-15 2025,,,,
,,,,,
WEEKLY SUMMARY,,,,,
Week,Date Range,Emails Sent,Responses,Links Acquired,Notes
Week 1,Dec 17-23,0,0,0,Foundation + Quick Wins
Week 2,Dec 24-30,0,0,0,Holiday Light Week - Research
Week 3,Jan 1-7,0,0,0,Outreach Blitz
Week 4,Jan 8-14,0,0,0,Scale + Corporate Start
,,,,,
SEGMENT BREAKDOWN,,,,,
Segment,Total Targets,Contacted,Responses,Links,Response Rate
Wedding,90,0,0,0,0%
Bach/Bachelorette,75,0,0,0,0%
Corporate,50,0,0,0,0%
TOTAL,215,0,0,0,0%
,,,,,
TARGET TYPE PERFORMANCE,,,,,
Target Type,Segment,Contacted,Responses,Links,Best Pitch
Photographers,Wedding,0,0,0,Photo Locations Guide
Wedding Planners,Wedding,0,0,0,Drink Calculator
Venues,Wedding,0,0,0,Partnership
Boat Rentals,Bach,0,0,0,Lake Travis Guide
Airbnb Hosts,Bach,0,0,0,Best Airbnbs Feature
Bars/Restaurants,Bach,0,0,0,Bach Party Guide
Corporate Venues,Corporate,0,0,0,Venue Guide
,,,,,
MONTHLY GOALS,,,,,
Month,Goal,Actual,Status,,
January,15-20 links,0,In Progress,,
February,15-20 links,0,Not Started,,
March,20+ links,0,Not Started,,
,,,,,
HARO STATS,,,,,
Queries Responded,Published,Links Acquired,,,
0,0,0,,,
